Movie_ID,Title,Genre,Release_Year,Duration,Rating,IMDb_Rating,Votes,Director,Country,Language,Budget,Revenue,Date_Added,Age_Rating,Cast,Production_House
NF2602,Little Women!!!,animation,1996,3h 13m,4.7,9.5,317073,Patty Jenkins,Japan,Hin,-500000,1505957457,2015-10-14,R,"Leonardo DiCaprio, Jodie Foster",Pixar Animation Studios
NF3430,  The White Tiger  ,"Animation, Drama",2007,1h 27m,8.4,4.0,123876,Jane Campion,U.S.,Kor,210868644,"687,371,362",20220620,R,"Sandra Bullock, Robert De Niro, Ryan Reynolds, Denzel Washington",Netflix Originals
NF5757,His House (Extended Collector's Edition with Bonus Features and Director's Commentary),ROMANCE,1993,1h 57m,7.4,3.4,"1,558,685",Spike Lee,India,korean,100147805,478302873,20180120,G,"Robert Downey Jr., Meryl Streep, Michael B. Jordan",Paramount Pictures
NF8495,Roma,"Thriller, Drama",2004,160mins,7.6,7.0,"46,529",,France,KOREAN,95587293,1295144836,20210103,G,,New Line Cinema
NF7790,Fear Street Part Three 1666,Romance,2016,113 min,5.0,5.7,682718,,South Korea,French,8921122,687779882,2021-12-08,PG-13,"Timothée Chalamet, Oscar Isaac, Cate Blanchett, Robert De Niro",Lionsgate
NF6121,Another Round,Drama | Thriller,2021,171,7.9,9.2,1654897,,Germany,Ger,41690405,"1,810,444,899","December 9, 2021",PG-13,"Leonardo DiCaprio, Jodie Foster",Columbia Pictures
NF7247,OUTER BANKS,ROMANCE,2012,115mins,6.7,5.7,1357429,James Cameron,Britain,English,16376937,205163907,2017-01-17,TV-MA,"Dwayne Johnson, Tom Hanks, Lupita Nyong'o",20th Century Studios
NF3818,Space Jam A New Legacy,Romance ,2004,151mins,8.0,5.1,390573,Spike Lee,Italy,KOREAN,240959175,342016702,2017-06-01,NC-17,"Ryan Reynolds, Julia Roberts, Timothée Chalamet, Cate Blanchett",Paramount Pictures
NF6878,Candyman,COMEDY,2022,78mins,4.6,6.8,713811,David Lynch,India,Spanish,249240908,1715911275,20220204,PG,"Meryl Streep, Angelina Jolie, Jodie Foster, Robert De Niro",Blumhouse Productions
NF9486,The Lost Daughter,"Comedy,",2024,122 min,6.3,6.9,,Patty Jenkins,Japan,Italian,102825070,,22/11/2020,NC-17,"Al Pacino, Tom Hanks, Lupita Nyong'o",Apple TV+
NF8931,Hubie Halloween,Horror  ,2023,80 min,8.9,6.9,"657,879",Quentin Tarantino,U.S.,japanese,$144854836,,"December 17, 2021",PG-13,"Lupita Nyong'o, Meryl Streep, Will Smith, Angelina Jolie",20th Century Studios
NF6712,Greyhound,ACTION,1994,1h 10m,7.1,5.5,1109056,Stanley Kubrick,South Korea,JAPANESE,175159202,"1,654,914,040",20180507,NC-17,"Ana de Armas, Tom Hanks",Warner Bros.
NF2309,Flee ,"Adventure,",2014,144,6.3,3.2,1155009,Wong Kar-wai,Germany,French,-500000,364760465,2020-10-01,R,"Margot Robbie, Meryl Streep, Brad Pitt, Sandra Bullock",Apple TV+
NF8012,THE ONE AND ONLY IVAN,Crime,2017,1000,,4.3,748427,Jordan Peele,India,Japanese,$120709868,"1,277,879,841",2022-11-19,NR,"Oscar Isaac, Margot Robbie",Focus Features
NF5402,The Old Guard,COMEDY,2006,1h 44m,4.7,7.8,"1,878,416",Denis Villeneuve,South Korea,korean,"$13,971,327",842668471,20241007,PG-13,"Adam Driver, Robert Downey Jr., Lupita Nyong'o, Angelina Jolie",Marvel Studios
NF2644,His House,"Drama, Drama",2023,80,8.5,6.0,"64,025",Ridley Scott,US,french,110179192,529461168,2015-08-23,PG,"Ryan Reynolds, Lupita Nyong'o",Apple TV+
NF9839,Hell or High Water,Animation | Thriller,2001,73mins,6.7,8.6,934796,Ryan Coogler,U.K.,KOREAN,213495366,1570429896,25/08/2015,TV-14,"Natalie Portman, Michael B. Jordan",Warner Bros.
NF1815,Extraction,Fantasy ,1993,187 min,5.5,9.7,1928520,James Gunn,India,English,-500000,1959494164,"March 6, 2023",TV-PG,"Brad Pitt, Al Pacino",Paramount Pictures
NF8549,Army of the Dead,adventure,1993,105 min,4.4,,8155,Paul Thomas Anderson,Germany,German,104357933,1136835001,2018-08-27,TV-PG,"Julia Roberts, Pedro Pascal, Ryan Reynolds, Denzel Washington",
NF5918,Bad Boys for Life, Fantasy,1999,2h 21m,4.4,3.5,628868,,India,korean,233905940,0,20231020,TV-MA,"Angelina Jolie, Robert Downey Jr.",A24
NF8146,The Little Things,Fantasy,2004,76mins,7.6,5.3,675237,Wes Anderson,USA,italian,122520671,950771444,"December 5, 2018",G,,Walt Disney Pictures
NF2666,The Addams Family 2,comedy,2002,156 min,6.2,5.9,1604037,Zack Snyder,Japan,Kor,109067001,1098354305,25/03/2019,PG,,Universal Pictures
NF4882,Black Widow,Fantasy ,2017,112mins,8.5,6.9,1251801,Taika Waititi,India,HINDI,138587221,1458884168,20160325,G,"Al Pacino, Chris Evans, Morgan Freeman",Amazon Studios
NF4681,Joker ,Crime | Thriller,2000,131,8.3,3.2,"178,027",Denis Villeneuve,U.S.,Hin,$175027836,1969580381,"May 27, 2020",TV-MA,"Pedro Pascal, Oscar Isaac, Michael B. Jordan",New Line Cinema
NF5034,Sound of Metal,crime,1995,147mins,4.3,6.7,"1,710,805",Denis Villeneuve,Japan,FRENCH,,1365933010,2019-06-10,NC-17,,Amazon Studios
NF1182,Home Sweet Home Alone,"Romance, Drama",1890,110mins,7.1,9.0,194316,Coen Brothers,South Korea,japanese,85852738,1281507145,08/07/2017,G,"Michael B. Jordan, Julia Roberts",Blumhouse Productions
NF4037,Get Out, Adventure,1999,N/A,6.3,6.2,1207261,Taika Waititi,India,french,"$2,641,066",1632721895,2024-08-05,PG-13,"Pedro Pascal, Meryl Streep",HBO Films
NF8950,Malignant,"Sci-Fi, Drama",1993,93mins,,9.3,1705483,David Fincher,U.S.A,korean,50931697,1418316960,20220304,PG,"Cate Blanchett, Meryl Streep, Margot Robbie",Marvel Studios
NF4420,The Humans,Documentary,2021,161mins,,6.1,"314,085",Billy Wilder,Japan,FRENCH,$166065996,"526,906,149",15/02/2020,TV-14,"Florence Pugh, Dwayne Johnson, Al Pacino",Marvel Studios
NF1611,Bridgerton,adventure,2024,,7.1,6.9,"850,893",David Lynch,USA,English,$80160467,1613779308,15/08/2017,PG,"Al Pacino, Scarlett Johansson, Angelina Jolie, Michael B. Jordan",Lionsgate
NF8656,Project Power,Comedy | Thriller,2003,112mins,4.1,3.6,232499,Peter Jackson,Italy,japanese,2394972,"205,937,781",17/04/2020,NC-17,"Florence Pugh, Adam Driver",Warner Bros.
NF7269,The Invisible Man,Animation  ,2012,170mins,8.0,7.5,1298280,Stanley Kubrick,India,Italian,$226511726,1585537183,28/05/2018,NC-17,,Blumhouse Productions
NF8436,Phantom Thread,Romance ,2000,2h 1m,4.6,3.5,,Alfonso Cuaron,United Kingdom,Eng,"$201,917,237",1772133430,2023-11-11,TV-PG,"Viola Davis, Michael B. Jordan, Robert De Niro, Sandra Bullock",Paramount Pictures
NF4883,SOUL,Comedy,2022,3h 6m,8.5,9.2,"1,149,936",J.J. Abrams,Italy,KOREAN,234165817,1821904345,2018-03-24,G,"Tom Hanks, Denzel Washington, Natalie Portman, Leonardo DiCaprio",Blumhouse Productions
NF5158,, Drama,2024,167mins,4.7,6.8,942833,Alfonso Cuaron,Germany,french,173928457,1073775632,2015-07-27,R,"Denzel Washington, Will Smith",Walt Disney Pictures
NF2037,Whiplash,Fantasy  ,2004,156,7.4,7.9,1392002,Spike Lee,USA,Spa,233881982,"1,613,783,642",08/06/2022,NC-17,"Scarlett Johansson, Michael B. Jordan",Amazon Studios
NF7879,Time,ANIMATION,1990,115mins,8.7,15.0,727358,Jane Campion,United States,Hindi,"$8,433,675",1112485630,20230307,PG,"Tom Hanks, Natalie Portman",Paramount Pictures
NF6194,,Animation,1994,161mins,6.8,3.5,477708,Ridley Scott,South Korea,english,$181722742,650176760,"April 23, 2019",PG-13,"Robert Downey Jr., Leonardo DiCaprio, Dwayne Johnson, Ryan Reynolds",Marvel Studios
NF4925,Bird Box,Sci-Fi/Comedy,2099,161mins,4.0,5.7,1940043,,Britain,GERMAN,184696354,1020583001,2023-07-22,TV-MA,"Lupita Nyong'o, Meryl Streep",A24
NF2966,No Country for Old Men,"Documentary, Drama",2010,190,4.8,6.2,"1,786,746",Paul Thomas Anderson,Italy,italian,218725862,531084922,2021-07-14,TV-PG,"Oscar Isaac, Natalie Portman, Charlize Theron, Leonardo DiCaprio",Universal Pictures
NF6370,Summer of Soul,"Romance,",2009,136mins,9.2,6.8,198753,Chloé Zhao,France,French,,477460140,27/04/2017,PG,"Robert Downey Jr., Cate Blanchett, Tom Hanks, Sandra Bullock",Legendary Pictures
NF5211,Hubie Halloween,HORROR,2009,144mins,5.9,3.4,63157,Martin Scorsese,Britain,Ger,203653565,1210114007,"June 7, 2019",NR,"Will Smith, Al Pacino",HBO Films
NF4893,Project Power,"Action,",1998,75mins,8.4,6.8,,Francis Ford Coppola,India,Italian,165694827,,07/01/2023,NC-17,"Natalie Portman, Chris Evans, Jodie Foster, Ryan Reynolds",New Line Cinema
NF6644,Fight Club,"Documentary, Drama",2001,175,8.8,8.4,"1,518,236",J.J. Abrams,United Kingdom,german,187654969,,2021-03-12,NC-17,"Angelina Jolie, Lupita Nyong'o, Margot Robbie, Charlize Theron",Paramount Pictures
NF6554,Halloween Kills, Romance,2023,1h 44m,4.0,8.5,1420360,Denis Villeneuve,Japan,Fre,192500210,1097998651,20211015,NC-17,"Zendaya, Julia Roberts, Will Smith",Warner Bros.
NF5603,Black Widow, Horror,2006,2h 30m,8.1,9.5,1935462,Greta Gerwig,France,english,"$126,731,110","1,516,143,705",20220704,TV-PG,"Adam Driver, Viola Davis",Pixar Animation Studios
NF4872,A Boy Called Christmas,Documentary  ,1996,160mins,6.8,15.0,1080697,Bong Joon-ho,UK,German,56393430,815155064,2015-08-23,G,"Margot Robbie, Florence Pugh",Pixar Animation Studios
NF1564,Judas and the Black Messiah, Drama,2006,1000,4.1,4.9,298601,Zack Snyder,Japan,HINDI,84221933,"439,779,428",20180220,TV-PG,"Robert De Niro, Lupita Nyong'o",Amazon Studios
NF5967,Titane,Animation ,2099,196mins,5.1,8.6,1824446,Francis Ford Coppola,Italy,spanish,152355829,1294973686,"March 3, 2024",PG,"Robert Downey Jr., Scarlett Johansson",Apple TV+
NF5959,A Castle for Christmas,Thriller,1998,176mins,4.0,6.5,778,Martin Scorsese,South Korea,italian,3603574,0,20150206,TV-MA,"Angelina Jolie, Brad Pitt, Lupita Nyong'o",Marvel Studios
NF7944,Coming 2 America,Action/Comedy,2012,2h 30m,9.4,,77165,Steven Spielberg,Italy,Hindi,"$83,491,684","1,702,983,481",20201009,TV-14,"Jodie Foster, Angelina Jolie",Amazon Studios
NF8764,The Trial of the Chicago 7,Sci-Fi,2013,77mins,8.6,4.2,1109674,Darren Aronofsky,UK,HINDI,$98041023,1015024287,13/10/2017,TV-14,"Julia Roberts, Ana de Armas",Paramount Pictures
NF8239,Welcome to Chechnya,Thriller | Thriller,2003,82 min,,4.0,,J.J. Abrams,India,Korean,,382885517,"November 10, 2017",NR,"Ana de Armas, Lupita Nyong'o",Paramount Pictures
NF2999,Parasite,Fantasy,2004,2h 28m,7.2,9.5,451098,Quentin Tarantino,South Korea,german,106221478,1734898261,"May 28, 2023",NR,"Zendaya, Charlize Theron, Michael B. Jordan",Columbia Pictures
